topic_id,label
15,"florence, pauline, ric, webinaire, clavaud, charbonnier, converter, ica, berni, deraze, trembleau, cia, logiciel, seles, marianne, juin, anthea, enregistrement, benedetti, organisation"
24,"nazari, mme, afghanes, charles, directrice, ancienne, situation, visa, diplomatie, téhéran, bedague, iran, afghans, william, ambassade, maufroy, bastide, jean, afghan, msuma"
38,"coronavirus, mesures, madamepapier, mars, enssib, chine, consignes, infections, respiratoires, cnfpt, covid, relatives, épidémie, formation, cov, sars, contact, annulation, entreprises, stagiaires"
45,"gae, livrable, approbation, ressources, aaf_ca2019, scaglione, note, groupes, cadrage, proposition, marc, travail, export, listes, request, attached, mail, engines, documents, aircraft"
54,"yahoo, groups, liste, discussion, messages, sympa, groupes, julien, échangés, changement, io, fonctionnalités, yahoogroupes, group, recommandations, benedetti, conseils, solution, didon, administrateur"
70,"naissance, ppl, table, ronde, déclaration, meissonnier, berger, banat, antoine, urgent_tr, ricard, charles, bedague, bruno, gouv, françoise, résidence, francoise, décembre, delille"
22,"intégrité, scientifique, décret, recherche, burnel, données, parution, exigences, communiqué, aaf_ca2019, presse, établissements, respect, relatif, 2022, listes, félicite, request, lucile, scientifiques"
29,"igi, thomas, gilles, vaisset, charles, branche, wanadoo, raphaëlle, déclassification, documents, nouvelle, 1934, écrit, manceron, 2020, recours, gmail, univ, communiqué, raphaelle"
62,"management, marketing, master, site, internet, communication, associations, ducol, refonte, laurent, alice, view, sharing, usp, toiletter, file, travail, civile, drive, aaf_ca2019"
13,"vidéos, aristote, youtube, vidéo, bigserval, castor, katia, 33, larrousse, secretariat, replay, donnees, 14, journée, scienceconf, 99, 67, lien, nicolas, https"
49,"rasad, verry, loire, maine, elisabeth, formation, 88, larrieux, section, départementaux, claire, départementales, 57, centre, 72, angers, archives, helene, annuelles, chambefort"
69,"subvention, siaf, nicolas, demande, cerfa, dossier, didon, associative, vie, vieassociative, catherine, bernard, valdemarne, benazzouz, danielle, année, clerc, falc, budget, formulaire"
21,"archives, histoire, accès, gilles, chikhi, igi, 1934, etat, historiens, wanadoo, manceron, déclassification, com, code, documents, troyes, georges, débat, loi, secret"
50,"données, santé, médical, dossier, tom, dom, patients, ue, dmp, kervegant, patient, hôpitaux, recherche, médicales, monde, traces, atlantique, protection, médecins, mélanie"
27,"année, 2022, janvier, belle, vœux, souhaite, efutura, voeux, violette, 139, levy, pauline, engagement, v1, framasoft, charly, fêtes, décembre, frama, mois"
48,"patr, loi, senat, article, delattre, 19, accès, mansat, publiques, projet, pierremansat, pierre, amendement, nathalie, sénat, renseignement, ans, fwd, 50, collectif"
8,"aaf_ca2019, listes, gmt, aaf_bureau, origine, 00, dominique, galaxy, message, date, editions, appareil, samsung, 2022, 01, aaf_ca2016, bonne, anne, marine, laure"
2,"pierremansat, mansat, pierre, 22490, plouër, 33676860863, créez, rance, vallée, gratuite, propre, signature, 24, gmail, com, écrit, france, 2021, branche, thomas"
39,"plimsoll, entreprises, marché, analyse, email, sociétés, prestation, lavenir, retirer, étude, thornaby, 2023, notées, mois, services, performance, croissance, francais, entreprise, commande"
76,"saaf, brigitte, guigueno, bechu, participation, francophonie, béchu, benazet, convention, amis, société, numéro, claire, welfele, contrepartie, editions, logo, chère, exemplaires, 40"
10,"gotomeeting, germain, global, louis, join, aide, https, pouvez, réunion, téléphone, appeler, qc, accès, ordre, tablette, smartphone, participez, code, 187, 210"
36,"label, open, content, wikimédia, libre, culturelles, wikimedia, institutions, france, culture, observatoire, numérique, webinaire, 2023, londres, 75009, commons, désinscrire, clic, inscrit"
9,"histoirecoloniale, net, coloniale, postcoloniale, histoire, 2023, nouveautés, algérie, colonial, https, publié, esclavage, guerre, indépendance, lettre, hco, française, site, france, racisme"
58,"anr, données, traitement, agence, droit, disposez, collectées, appels, recherche, webinaires, 2023, tour, nationale, caractère, cliquez, email, daumesnil, 75012, personnel, aapg"
35,"supérieur, messieurs, conseil, mesdames, séance, delobel, corinne, maréchaux, membres, distinguée, agréer, réunion, considération, valois, interministériel, salon, tiendra, cheffe, expression, veuillez"
47,"restaurant, menu, eve, jullien, valencia, landry, severine, menet, datarchiv, maria, longin, cyril, végé, mai, tradition, riche, coop, cotesdarmor, soir, mevel"
17,"kervegant, données, atlantique, 97, aaf_ca2019, laure, bretagne, protection, 02, ch, brocéliande, groupement, hospitalier, territoriale, 83, listes, suivez, santé, marie, systèmes"
63,"avignon, anr, festival, traitement, recherche, dpd, tourisme, rencontres, données, consentement, création, juillet, personnelles, toulouzan, agencerecherche, traitant, email, pouvez, informatique, creation"
67,"quot, serif, div, style, span, size, family, color, emojifont, gothic, century, times, new, br, roman, face, nbsp, 12pt, calibri, id"
28,"emploi, offres, offre, deposer, subscribe, abonnez, site, cdd, ville, retrouvez, informe, https, sympa, nouvelles, déposer, stages, pro, ligne, aaf_adherents, recevoir"
57,"argumentaire, ministre, arlette, question, parlementaires, primauté, heymann, doat, poser, code, juriste, préparer, nov, questions, bertrand, 26, forcade, essayer, aggréent, sfiaf"
23,"iphone, cornu, sylvie, annette, entreprises, thenault, wieviorka, cnrs, marie, sénateur, icarus, histoire, archiverosaefp, wanadoo, colloque, écrit, accès, celine, 2021, pierremansat"
65,"pv, ag, rgpd, relecture, aaf_ca2019, corrections, listes, crise, interférence, santé, respectées, exprime, v1, cr, relu, kervegant, covid, 1ere, paru, 2022"
37,"catalogue, formations, formation, cofem, service, gestion, ina, 365, lacharente, marionbernard, parcours, alerte, rubrique, ligne, aimerions, apparaître, 2024, 2022, remarques, psc"
20,"rwanda, duclert, survie, rapport, derradji, occultées, génocide, mehdi, commission, mercenaires, dgse, graner, françois, invisibles, tutsis, 1994, militaires, archives, mitterrand, france"
56,"weezevent, vente, cera, vendre, nicolas, ligne, publications, didon, associative, vieassociative, vie, ducol, mel, ventes, laurent, site, dolly, tva, formation, catherine"
55,"fusion, delphine, réflexions, aaf_ca2019, missions, disparition, siaf, bureau, listes, matin, mailing, à17h, list, jeudi, journée, 8h30, janin, vendredi, alloués, b2c"
74,"anmt, huguet, étude, marine, roubaix, schirr, helene, chambefort, chaussettes, dominique, journée, soir, naud, claire, point, lucile, villa, rendu, unistra, inserm"
75,"donzel, bretagne, 35711, 21101, patton, 283, cs, ar, bzh, données, région, laure, niverel, cedex, jeneral, rannvro, roazhon, pgz, bali, breizh"
59,"menton, destruction, cp, aaf_ca2019, listes, request, 2022, décembre, fêtes, claire, 88, version, v1, lydiane, journée, larrieux, maire, jointe, congés, pièce"
-1,Outlier
